EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
60710026,US,South Coast AQMD,R9,0,-8,34.068114,2026-01-27 06:00:00 GMT-8,-117.525796,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,SW San Bernardino,Ontario Near Road,CA,Active,1/27/2026 14:00,556339006,Permanent,-13082911.77,4037951.743
60710027,US,South Coast AQMD,R9,0,-8,34.0309,2026-01-27 06:00:00 GMT-8,-117.617403,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,SW San Bernardino,60 Near Road,CA,Active,1/27/2026 14:00,556339007,Permanent,-13093109.41,4032951.896
60714003,US,South Coast AQMD,R9,146.7,-8,34.059626,2026-01-27 06:00:00 GMT-8,-117.147347,27,25,25,25,25,25,25,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,E San Bernardino,Redlands - Dearborn,CA,Active,1/27/2026 14:00,556339014,Permanent,-13040783.02,4036811.154
60750005,US,Bay Area Air District,R9,1.5,-8,37.7658,2026-01-27 06:00:00 GMT-8,-122.3978,4,73,73,73,5,5,5,1,PPB,,,ND,-999,0,,21,73,73,73,1,UG/M3,73,73,73,San Francisco,San Francisco,CA,Active,1/27/2026 14:00,556339031,Permanent,-13625260.77,4546393.832
60798005,US,San Luis Obispo County APCD,R9,0,-8,35.64366,2026-01-27 06:00:00 GMT-8,-120.23134,43,36,36,36,36,36,36,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Red Hills,Redhills,CA,Active,1/27/2026 14:00,556339044,Permanent,-13384091.55,4251699.668
60811001,US,Bay Area Air District,R9,0.9,-8,37.4828,2026-01-27 06:00:00 GMT-8,-122.2022,0,36,36,36,1,1,1,1,PPB,,,ND,-999,0,,6,36,36,36,1,UG/M3,36,36,36,Redwood City,Redwood City,CA,Active,1/27/2026 14:00,556339046,Permanent,-13603486.68,4506618.25
60831013,US,Santa Barbara County Air Pollution Control District,R9,0,-8,34.7256,2026-01-27 06:00:00 GMT-8,-120.4278,41,37,37,37,37,37,37,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Lompoc,Lompoc HS&P,CA,Active,1/27/2026 14:00,556339050,Permanent,-13405961.37,4126653.523
60831014,US,Santa Barbara County Air Pollution Control District,R9,0,-8,34.5414,2026-01-27 06:00:00 GMT-8,-119.7906,27,24,24,24,24,24,24,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Paradise Road,Paradise Road,CA,Active,1/27/2026 14:00,556339051,Permanent,-13335028.59,4101732.567
60831021,US,Santa Barbara County Air Pollution Control District,R9,0,-8,34.402802,2026-01-27 06:00:00 GMT-8,-119.457497,22,21,21,21,21,21,21,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Carpinteria,Carpinteria,CA,Active,1/27/2026 14:00,556339053,Permanent,-13297947.74,4083017.586
60833001,US,Santa Barbara County Air Pollution Control District,R9,204.7,-8,34.605819,2026-01-27 06:00:00 GMT-8,-120.07506,12,12,12,12,10,10,10,1,PPB,,,ND,-999,0,,2,12,12,12,1,UG/M3,12,12,12,Santa Ynez,Santa Ynez,CA,Active,1/27/2026 14:00,556339057,Permanent,-13366694.54,4110441.712
60850002,US,Bay Area Air District,R9,62.8,-8,36.999571,2026-01-27 06:00:00 GMT-8,-121.574684,1,34,34,34,3,3,3,1,PPB,,,ND,-999,0,,5,34,34,34,1,UG/M3,34,34,34,San Jose,Gilroy - 9th Street,CA,Active,1/27/2026 14:00,556339059,Permanent,-13533631.92,4439046.99
