EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
060530002,US,Monterey Bay Unified APCD,R9,200.1,-8,36.48187,2026-01-27 06:00:00 GMT-8,-121.73333,25,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,0,,ND,-999,1,UG/M3,,ND,-999,Carmel Valley,Carmel Valley AMS,CA,Active,1/27/2026 2:00:00 PM,556338936,Permanent,-13551292.3081695,4367130.13068094
060531003,US,Monterey Bay Unified APCD,R9,10.1,-8,36.694261,2026-01-27 06:00:00 GMT-8,-121.623271,24,19,19,19,19,19,19,1,PPB,,,ND,-999,0,,3,18,18,18,1,UG/M3,18,18,18,Salinas,Salinas AMS,CA,Active,1/27/2026 2:00:00 PM,556338938,Permanent,-13539040.5963323,4396575.96457041
060570005,US,Northern Sierra AQMD,R9,0,-8,39.234402,2026-01-27 06:00:00 GMT-8,-121.055603,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Western Nevada County,Grass Valley,CA,Active,1/27/2026 2:00:00 PM,556338957,Permanent,-13475848.0836327,4755303.48205424
060571001,US,Northern Sierra AQMD,R9,0,-8,39.327852,2026-01-27 06:00:00 GMT-8,-120.184617,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Truckee,Truckee BAM,CA,Active,1/27/2026 2:00:00 PM,556338959,Permanent,-13378890.3656246,4768742.95654085
060590008,US,South Coast AQMD,R9,0,-8,33.819305,2026-01-27 06:00:00 GMT-8,-117.918759,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Central Orange,Anaheim Near Road,CA,Active,1/27/2026 2:00:00 PM,556338961,Permanent,-13126656.2068547,4004564.83195787
060595001,US,South Coast AQMD,R9,26.5,-8,33.925062,2026-01-27 06:00:00 GMT-8,-117.952586,6,10,10,10,10,10,10,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,North Orange CO,La Habra,CA,Active,1/27/2026 2:00:00 PM,556338964,Permanent,-13130421.8112698,4018744.11665698
060610004,US,Placer County APCD,R9,0,-8,39.1003,2026-01-27 06:00:00 GMT-8,-120.9528,33,25,25,25,25,25,25,1,PPB,,,ND,-999,0,,5,23,23,23,1,UG/M3,23,23,23,Colfax,Colfax,CA,Active,1/27/2026 2:00:00 PM,556338966,Permanent,-13464404.1060207,4736048.88722125
060611004,US,Placer County APCD,R9,1917.2,-8,39.166,2026-01-27 06:00:00 GMT-8,-120.1488,26,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,5,18,18,18,1,UG/M3,18,18,18,Tahoe City area,Tahoe City,CA,Active,1/27/2026 2:00:00 PM,556338968,Permanent,-13374903.2354229,4745477.61870501
060631006,US,Northern Sierra AQMD,R9,0,-8,39.9395,2026-01-27 06:00:00 GMT-8,-120.9443,,65,65,65,,ND,-999,0,,,,ND,-999,0,,18.5,65,65,65,1,UG/M3,65,65,65,Quincy,Quincy,CA,Active,1/27/2026 2:00:00 PM,556338970,Permanent,-13463457.8903489,4857154.47528469
060631007,US,Northern Sierra AQMD,R9,0,-8,40.301899,2026-01-27 06:00:00 GMT-8,-121.235001,,18,18,18,,ND,-999,0,,,,ND,-999,0,,4,18,18,18,1,UG/M3,18,18,18,Chester,Chester BAM,CA,Active,1/27/2026 2:00:00 PM,556338971,Permanent,-13495818.577642,4909910.89469016
